Floor,Zone,Row,Seat_Number,Seat_Type,Display_Text,X,Y,Z,View_ID
1F,OP,1열,1,일반 좌석,1,25.13,15.0,-1.35,View_1F_OP_1_1
1F,OP,1열,2,일반 좌석,2,24.62,15.11,-1.35,View_1F_OP_1_2
1F,OP,1열,3,일반 좌석,3,24.1,15.19,-1.35,View_1F_OP_1_3
1F,OP,1열,4,일반 좌석,4,22.52,15.49,-1.35,View_1F_OP_1_4
1F,OP,1열,5,일반 좌석,5,21.98,15.48,-1.35,View_1F_OP_1_5
1F,OP,1열,6,일반 좌석,6,21.44,15.47,-1.35,View_1F_OP_1_6
1F,OP,1열,7,일반 좌석,7,20.9,15.46,-1.35,View_1F_OP_1_7
1F,OP,1열,8,일반 좌석,8,20.36,15.45,-1.35,View_1F_OP_1_8
1F,OP,1열,9,일반 좌석,9,19.82,15.44,-1.35,View_1F_OP_1_9
1F,OP,1열,10,일반 좌석,10,19.28,15.43,-1.35,View_1F_OP_1_10
1F,OP,1열,11,일반 좌석,11,18.74,15.42,-1.35,View_1F_OP_1_11
1F,OP,1열,12,일반 좌석,12,18.2,15.41,-1.35,View_1F_OP_1_12
1F,OP,1열,13,일반 좌석,13,17.66,15.4,-1.35,View_1F_OP_1_13
1F,OP,1열,14,일반 좌석,14,17.12,15.39,-1.35,View_1F_OP_1_14
1F,OP,1열,15,일반 좌석,15,16.58,15.38,-1.35,View_1F_OP_1_15
1F,OP,1열,16,일반 좌석,16,16.04,15.37,-1.35,View_1F_OP_1_16
1F,OP,1열,17,일반 좌석,17,15.5,15.36,-1.35,View_1F_OP_1_17
1F,OP,1열,18,일반 좌석,18,13.79,15.2,-1.35,View_1F_OP_1_18
1F,OP,1열,19,일반 좌석,19,13.31,15.05,-1.35,View_1F_OP_1_19
1F,OP,1열,20,일반 좌석,20,12.82,14.95,-1.35,View_1F_OP_1_20
1F,OP,2열,1,일반 좌석,1,26.36,15.57,-1.35,View_1F_OP_2_1
1F,OP,2열,2,일반 좌석,2,25.8,15.68,-1.35,View_1F_OP_2_2
1F,OP,2열,3,일반 좌석,3,25.25,15.78,-1.35,View_1F_OP_2_3
1F,OP,2열,4,일반 좌석,4,24.69,15.89,-1.35,View_1F_OP_2_4
1F,OP,2열,5,일반 좌석,5,24.13,15.99,-1.35,View_1F_OP_2_5
1F,OP,2열,6,일반 좌석,6,22.51,16.29,-1.35,View_1F_OP_2_6
1F,OP,2열,7,일반 좌석,7,21.97,16.3,-1.35,View_1F_OP_2_7
1F,OP,2열,8,일반 좌석,8,21.43,16.3,-1.35,View_1F_OP_2_8
1F,OP,2열,9,일반 좌석,9,20.89,16.31,-1.35,View_1F_OP_2_9
1F,OP,2열,10,일반 좌석,10,20.34,16.31,-1.35,View_1F_OP_2_10
1F,OP,2열,11,일반 좌석,11,19.8,16.32,-1.35,View_1F_OP_2_11
1F,OP,2열,12,일반 좌석,12,19.26,16.33,-1.35,View_1F_OP_2_12
1F,OP,2열,13,일반 좌석,13,18.72,16.33,-1.35,View_1F_OP_2_13
1F,OP,2열,14,일반 좌석,14,18.18,16.34,-1.35,View_1F_OP_2_14
1F,OP,2열,15,일반 좌석,15,17.64,16.34,-1.35,View_1F_OP_2_15
1F,OP,2열,16,일반 좌석,16,17.09,16.35,-1.35,View_1F_OP_2_16
1F,OP,2열,17,일반 좌석,17,16.55,16.36,-1.35,View_1F_OP_2_17
1F,OP,2열,18,일반 좌석,18,16.01,16.36,-1.35,View_1F_OP_2_18
1F,OP,2열,19,일반 좌석,19,15.47,16.37,-1.35,View_1F_OP_2_19
1F,OP,2열,20,일반 좌석,20,13.78,16.07,-1.35,View_1F_OP_2_20
1F,OP,2열,21,일반 좌석,21,13.23,15.94,-1.35,View_1F_OP_2_21
1F,OP,2열,22,일반 좌석,22,12.68,15.82,-1.35,View_1F_OP_2_22
1F,OP,2열,23,일반 좌석,23,12.13,15.69,-1.35,View_1F_OP_2_23
1F,OP,2열,24,일반 좌석,24,11.58,15.56,-1.35,View_1F_OP_2_24
1F,OP,3열,1,일반 좌석,1,26.76,16.35,-1.35,View_1F_OP_3_1
1F,OP,3열,2,일반 좌석,2,26.25,16.49,-1.35,View_1F_OP_3_2
1F,OP,3열,3,일반 좌석,3,25.74,16.63,-1.35,View_1F_OP_3_3
1F,OP,3열,4,일반 좌석,4,25.22,16.76,-1.35,View_1F_OP_3_4
1F,OP,3열,5,일반 좌석,5,24.71,16.9,-1.35,View_1F_OP_3_5
1F,OP,3열,6,일반 좌석,6,24.2,17.04,-1.35,View_1F_OP_3_6
1F,OP,3열,7,일반 좌석,7,22.46,17.26,-1.35,View_1F_OP_3_7
1F,OP,3열,8,일반 좌석,8,21.92,17.25,-1.35,View_1F_OP_3_8
1F,OP,3열,9,일반 좌석,9,21.38,17.25,-1.35,View_1F_OP_3_9
1F,OP,3열,10,일반 좌석,10,20.83,17.24,-1.35,View_1F_OP_3_10
1F,OP,3열,11,일반 좌석,11,20.29,17.24,-1.35,View_1F_OP_3_11
1F,OP,3열,12,일반 좌석,12,19.75,17.23,-1.35,View_1F_OP_3_12
1F,OP,3열,13,일반 좌석,13,19.21,17.23,-1.35,View_1F_OP_3_13
1F,OP,3열,14,일반 좌석,14,18.67,17.22,-1.35,View_1F_OP_3_14
1F,OP,3열,15,일반 좌석,15,18.13,17.22,-1.35,View_1F_OP_3_15
1F,OP,3열,16,일반 좌석,16,17.58,17.21,-1.35,View_1F_OP_3_16
1F,OP,3열,17,일반 좌석,17,17.04,17.21,-1.35,View_1F_OP_3_17
1F,OP,3열,18,일반 좌석,18,16.5,17.2,-1.35,View_1F_OP_3_18
1F,OP,3열,19,일반 좌석,19,15.95,17.2,-1.35,View_1F_OP_3_19
1F,OP,3열,20,일반 좌석,20,15.41,17.19,-1.35,View_1F_OP_3_20
1F,OP,3열,21,일반 좌석,21,13.75,16.9,-1.35,View_1F_OP_3_21
1F,OP,3열,22,일반 좌석,22,13.23,16.77,-1.35,View_1F_OP_3_22
1F,OP,3열,23,일반 좌석,23,12.71,16.65,-1.35,View_1F_OP_3_23
1F,OP,3열,24,일반 좌석,24,12.19,16.52,-1.35,View_1F_OP_3_24
1F,OP,3열,25,일반 좌석,25,11.67,16.4,-1.35,View_1F_OP_3_25
1F,OP,3열,26,일반 좌석,26,11.15,16.27,-1.35,View_1F_OP_3_26
1F,A,1열,1,none,,0.0,0.0,0.0,View_1F_A_1_1
1F,A,1열,2,일반 좌석,1,28.14,18.31,-1.08,View_1F_A_1_2
1F,A,1열,3,일반 좌석,2,27.62,18.4,-1.08,View_1F_A_1_3
1F,A,1열,4,일반 좌석,3,27.1,18.49,-1.08,View_1F_A_1_4
1F,A,1열,5,일반 좌석,4,26.58,18.58,-1.08,View_1F_A_1_5
1F,A,1열,6,일반 좌석,5,26.06,18.67,-1.08,View_1F_A_1_6
1F,A,1열,7,일반 좌석,6,25.54,18.76,-1.08,View_1F_A_1_7
1F,A,1열,8,일반 좌석,7,25.02,18.85,-1.08,View_1F_A_1_8
1F,A,1열,9,일반 좌석,8,24.5,18.94,-1.08,View_1F_A_1_9
1F,A,1열,10,일반 좌석,9,23.98,19.03,-1.08,View_1F_A_1_10
1F,A,2열,1,일반 좌석,1,28.68,19.04,-1.39,View_1F_A_2_1
1F,A,2열,2,일반 좌석,2,28.21,19.15,-1.39,View_1F_A_2_2
1F,A,2열,3,일반 좌석,3,27.71,19.26,-1.39,View_1F_A_2_3
1F,A,2열,4,일반 좌석,4,27.2,19.37,-1.39,View_1F_A_2_4
1F,A,2열,5,일반 좌석,5,26.69,19.48,-1.39,View_1F_A_2_5
1F,A,2열,6,일반 좌석,6,26.19,19.59,-1.39,View_1F_A_2_6
1F,A,2열,7,일반 좌석,7,25.68,19.7,-1.39,View_1F_A_2_7
1F,A,2열,8,일반 좌석,8,25.17,19.81,-1.39,View_1F_A_2_8
1F,A,2열,9,일반 좌석,9,24.67,19.92,-1.39,View_1F_A_2_9
1F,A,2열,10,일반 좌석,10,24.16,20.03,-1.39,View_1F_A_2_10
1F,A,3열,1,일반 좌석,1,28.76,19.97,-1.38,View_1F_A_3_1
