Floor,Zone,Row,Seat_Number,Seat_Type,Display_Text,X,Y,Z,View_ID
1F,OP,1열,1,일반 좌석,1,25.123,15.041,-1.43,View_1F_OP_1_1
1F,OP,1열,2,일반 좌석,2,24.617,15.15,-1.43,View_1F_OP_1_2
1F,OP,1열,3,일반 좌석,3,24.112,15.252,-1.43,View_1F_OP_1_3
1F,OP,1열,4,일반 좌석,4,22.531,15.484,-1.43,View_1F_OP_1_4
1F,OP,1열,5,일반 좌석,5,21.955,15.548,-1.43,View_1F_OP_1_5
1F,OP,1열,6,일반 좌석,6,21.396,15.609,-1.43,View_1F_OP_1_6
1F,OP,1열,7,일반 좌석,7,20.836,15.643,-1.43,View_1F_OP_1_7
1F,OP,1열,8,일반 좌석,8,20.273,15.675,-1.43,View_1F_OP_1_8
1F,OP,1열,9,일반 좌석,9,19.7,15.698,-1.43,View_1F_OP_1_9
1F,OP,1열,10,일반 좌석,10,19.128,15.708,-1.43,View_1F_OP_1_10
1F,OP,1열,11,일반 좌석,11,18.574,15.689,-1.43,View_1F_OP_1_11
1F,OP,1열,12,일반 좌석,12,18.031,15.679,-1.43,View_1F_OP_1_12
1F,OP,1열,13,일반 좌석,13,17.519,15.65,-1.43,View_1F_OP_1_13
1F,OP,1열,14,일반 좌석,14,17.004,15.617,-1.43,View_1F_OP_1_14
1F,OP,1열,15,일반 좌석,15,16.488,15.566,-1.43,View_1F_OP_1_15
1F,OP,1열,16,일반 좌석,16,15.981,15.525,-1.43,View_1F_OP_1_16
1F,OP,1열,17,일반 좌석,17,15.467,15.465,-1.43,View_1F_OP_1_17
1F,OP,1열,18,일반 좌석,18,13.809,15.194,-1.43,View_1F_OP_1_18
1F,OP,1열,19,일반 좌석,19,13.3,15.092,-1.43,View_1F_OP_1_19
1F,OP,1열,20,일반 좌석,20,12.8,14.987,-1.43,View_1F_OP_1_20
1F,OP,2열,1,일반 좌석,1,26.38,15.607,-1.43,View_1F_OP_2_1
1F,OP,2열,2,일반 좌석,2,25.814,15.751,-1.43,View_1F_OP_2_2
